detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 09:35:44     onVAH from_above bid  30479.50 |      5      4      1    0      0 |   -2033   -127   138   144 |   61.0  -88.5 -32.75
 09:35:44     onVAH from_above bid  30479.50 |     14     15      0    0      0 |   -2025   -110   146   146 |   61.0  -88.5  -34.0
 09:35:47     onVAH from_below ask  30479.25 |      9     10      0    0      0 |   -2024    -78   113   127 |  61.25 -88.25  -34.5
 09:35:48     onVAH from_above bid  30479.50 |     19     17      2    0      0 |   -2032    -86   126   145 |   61.0  -88.5  -36.5
 09:35:48     onVAH from_below ask  30478.50 |     14     16      0    0      0 |   -2053   -107   130   159 |   62.0  -87.5  -35.5
 09:35:49     onVAH from_above bid  30479.00 |     10      7      3    0      0 |   -2061   -113    94   164 |   61.5  -88.0  -36.0
 09:36:08       POC from_below ask  30449.50 |     19     19      0    0      0 |   -2227   -254     3     0 |   91.0  -58.5   17.0
 09:36:08       POC from_above bid  30450.50 |      0      0      0    0      0 |   -2272   -299     8     7 |   90.0  -59.5   16.0
 09:36:08       POC from_above bid  30450.25 |      0      0      0    0      0 |   -2354   -381     8    36 |  90.25 -59.25  16.25
 09:36:08       POC from_below ask  30450.00 |     19     19      0    0      0 |   -2354   -381     8    36 |   90.5  -59.0   16.5
 09:36:10       POC from_below ask  30449.75 |     15     15      0    0      0 |   -2329   -314    10    36 |  90.75 -58.75  16.25
 09:36:10       POC from_below ask  30449.50 |     15     15      0    0      0 |   -2292   -277    15    36 |   91.0  -58.5   16.5
 09:36:10       POC from_below ask  30450.00 |     15     15      0    0      0 |   -2285   -270    17    36 |   90.5  -59.0   16.0
 09:36:16       POC from_below ask  30449.75 |     12     12      0    0      0 |   -2357   -273    19    38 |  90.75 -58.75   7.75
 09:36:16       POC from_below ask  30449.50 |     12     12      0    0      0 |   -2302   -218    24    38 |   91.0  -58.5    8.0
 09:36:16       POC from_below ask  30450.25 |     12     12      0    0      0 |   -2302   -218    24    38 |  90.25 -59.25   7.25
 09:36:16       POC from_below ask  30450.00 |     12     12      0    0      0 |   -2324   -240    30    39 |   90.5  -59.0   7.75
 09:36:16       POC from_below ask  30449.50 |     12     12      0    0      0 |   -2324   -240    30    39 |   91.0  -58.5   8.25
 09:36:19       POC from_below ask  30450.00 |     12     12      0    0      0 |   -2369   -302    39    41 |   90.5  -59.0    9.5
 09:36:20       POC from_above bid  30450.25 |     19     18      1    0      0 |   -2259   -189    51    46 |  90.25 -59.25  10.25
 09:36:21       POC from_above bid  30450.50 |      0      0      0    0      0 |   -2222   -153    55    47 |   90.0  -59.5   10.0
 09:36:21       POC from_below ask  30449.75 |      5      5      0    0      0 |   -2234   -165    59    50 |  90.75 -58.75  10.75
 09:36:21       POC from_below ask  30449.50 |      5      5      0    0      0 |   -2234   -165    59    50 |   91.0  -58.5   11.0
 09:36:21       POC from_below ask  30450.50 |      5      5      0    0      0 |   -2328   -259    59    54 |   90.0  -59.5   10.0
 09:36:21       POC from_below ask  30450.25 |      5      5      0    0      0 |   -2341   -272    59    57 |  90.25 -59.25  10.25
 09:36:28       POC from_below ask  30450.00 |     16     14      2    0      0 |   -2356   -409    68    57 |   90.5  -59.0   7.75
 09:36:29       POC from_above bid  30449.75 |      5      4      1    0      0 |   -2357   -412    73    69 |  90.75 -58.75   4.75
 09:36:29       POC from_above bid  30450.50 |      5      6      0    0      0 |   -2368   -419    74    76 |   90.0  -59.5    6.0
 09:36:32       POC from_below ask  30450.00 |      4      6      0    0      0 |   -2371   -336    80    77 |   90.5  -59.0  23.25
 09:36:34       POC from_above bid  30450.50 |      4      4      0    0      0 |   -2345   -310    80    82 |   90.0  -59.5   21.5
 09:36:36     onVAH from_below ask  30478.50 |     21     14      7    0      0 |   -2204   -169     8     0 |   62.0  -87.5 -11.25
 09:36:38       POC from_above bid  30450.50 |     19     15      4    0      0 |   -2230   -113    72    66 |   90.0  -59.5   6.25
 09:36:39       POC from_below ask  30450.00 |      1      4      0    0      0 |   -2309   -192    76    66 |   90.5  -59.0   6.75
 09:36:39       POC from_below ask  30450.00 |     10      9      1    0      0 |   -2311   -194    85    80 |   90.5  -59.0   5.75
 09:38:02       POC from_below ask  30449.75 |     34     34      0    0      0 |   -2410     39     3     0 |  90.75 -58.75  -24.0
 09:38:03       POC from_below ask  30449.50 |     31     31      0    0      0 |   -2403     46     8     0 |   91.0  -58.5 -22.25
 09:38:03       POC from_below ask  30449.75 |     33     31      2    0      0 |   -2396     53    11     0 |  90.75 -58.75 -22.25
 09:38:04       POC from_below ask  30450.50 |     20     20      0    0      0 |   -2351     96    36     3 |   90.0  -59.5 -33.75
 09:38:04       POC from_above bid  30450.00 |      0      0      0    0      0 |   -2326    121    39     3 |   90.5  -59.0 -33.25
 09:38:04       POC from_below ask  30450.50 |     20     20      0    0      0 |   -2375     72    39     8 |   90.0  -59.5 -33.75
 09:38:06       POC from_below ask  30449.50 |     23     17      6    0      0 |   -2361     89    48    12 |   91.0  -58.5 -29.75
 09:38:10       POC from_below ask  30449.50 |     15     15      0    0      0 |   -2362    121    57    14 |   91.0  -58.5  -26.5
 09:38:14       POC from_below ask  30449.75 |     22     21      1    0      0 |   -2335    -12    58    14 |  90.75 -58.75 -29.75
 09:38:17       POC from_above bid  30450.50 |     27     27      0    0      0 |   -2231     62    70    21 |   90.0  -59.5  -22.0
 09:38:17       POC from_above bid  30450.25 |     27     27      0    0      0 |   -2194     99    71    21 |  90.25 -59.25 -21.75
 09:38:17       POC from_above bid  30450.00 |     27     27      0    0      0 |   -2155    138    75    23 |   90.5  -59.0  -21.5
 09:38:17       POC from_above bid  30449.75 |     27     27      0    0      0 |   -2155    138    75    23 |  90.75 -58.75 -21.25
 09:38:17       POC from_above bid  30450.50 |     27     27      0    0      0 |   -2156    137    75    24 |   90.0  -59.5  -22.0
 09:38:17       POC from_above bid  30449.50 |     27     27      0    0      0 |   -2217     76    75    26 |   91.0  -58.5  -21.0
 09:38:17       POC from_below ask  30450.25 |      0      0      0    0      0 |   -2217     76    75    26 |  90.25 -59.25 -21.75
 09:38:21       POC from_above bid  30450.25 |     14     13      1    0      0 |   -2228     78    75    27 |  90.25 -59.25 -33.25
 09:38:23       POC from_below ask  30449.75 |     19     19      0    0      0 |   -2358    -60    78    38 |  90.75 -58.75 -31.75
 09:38:23       POC from_below ask  30449.50 |     19     19      0    0      0 |   -2358    -60    78    38 |   91.0  -58.5  -31.5
 09:39:15       POC from_below ask  30449.50 |     18     17      1    0      0 |   -2443   -110     8     0 |   91.0  -58.5 -29.25
 09:39:21       POC from_below ask  30449.50 |     18     20      0    0      0 |   -2335   -108    21     0 |   91.0  -58.5 -35.75
 09:39:21       POC from_below ask  30450.00 |     14     14      0    0      0 |   -2333   -104    25     0 |   90.5  -59.0 -36.25
 09:39:21       POC from_below ask  30449.50 |     18     16      2    0      0 |   -2330    -96    31     0 |   91.0  -58.5 -35.75
 09:39:21       POC from_above bid  30450.00 |      5      5      0    0      0 |   -2320     44    39     8 |   90.5  -59.0 -36.75
 09:39:22       POC from_below ask  30450.00 |     18     18      0    0      0 |   -2321     39    61    18 |   90.5  -59.0  -31.5
 09:39:22       POC from_below ask  30449.50 |     17     17      0    0      0 |   -2322     32    63    18 |   91.0  -58.5  -33.5
 09:39:23       POC from_below ask  30450.50 |      7      7      0    0      0 |   -2339     49    66    19 |   90.0  -59.5  -30.0
 09:39:23       POC from_above bid  30449.75 |      5      6      0    0      0 |   -2335     26    70    27 |  90.75 -58.75  -31.5
 09:39:23       POC from_below ask  30450.00 |     10     10      0    0      0 |   -2337     31    72    27 |   90.5  -59.0  -31.0
 09:39:26       POC from_above bid  30450.50 |     19     18      1    0      0 |   -2336     42    73    33 |   90.0  -59.5 -36.75
 09:39:26       POC from_above bid  30450.00 |      7      7      0    0      0 |   -2343     38    78    44 |   90.5  -59.0 -38.25
 09:39:27       POC from_below ask  30449.75 |      0      0      0    0      0 |   -2316     65    83    52 |  90.75 -58.75  -38.0
 09:39:27       POC from_below ask  30450.50 |      0      0      0    0      0 |   -2316     65    83    52 |   90.0  -59.5 -38.75
 09:39:27       POC from_above bid  30450.00 |     28     28      0    0      0 |   -2316     65    83    52 |   90.5  -59.0 -38.25
 09:39:35       POC from_above bid  30450.50 |     14     14      0    0      0 |   -2184    256    83    55 |   90.0  -59.5   -7.5
 09:39:39       POC from_above bid  30450.50 |     12     11      1    0      0 |   -2176    356    88    61 |   90.0  -59.5   -7.5
 09:39:40       POC from_below ask  30450.25 |      8      7      1    0      0 |   -2207    325    90    63 |  90.25 -59.25  -3.25
 09:39:42       POC from_above bid  30450.25 |      6      7      0    0      0 |   -2195    370    92    66 |  90.25 -59.25  -4.75
 09:39:42       POC from_above bid  30450.50 |      7      7      0    0      0 |   -2176    388    93    66 |   90.0  -59.5   -6.0
 09:39:43       POC from_above bid  30450.50 |     16     15      1    0      0 |   -2169    393    96    68 |   90.0  -59.5  -7.75
 09:39:49       POC from_above bid  30450.50 |     14     14      0    0      0 |   -2166    370    79    80 |   90.0  -59.5  -1.25
 09:39:59       POC from_above bid  30450.00 |      4      3      1    0      0 |   -2150    378    15    32 |   90.5  -59.0   17.0
 09:39:59       POC from_below ask  30449.75 |      8     10      0    0      0 |   -2158    370    17    35 |  90.75 -58.75  17.25
 09:39:59       POC from_below ask  30449.50 |      9     10      0    0      0 |   -2156    372    21    35 |   91.0  -58.5   17.5
 09:40:00       POC from_above bid  30450.25 |     18     22      0    0      0 |   -2154    380    21    45 |  90.25 -59.25  17.25
 09:40:05       POC from_above bid  30450.50 |     22     20      2    0      0 |   -2161    392    39    62 |   90.0  -59.5  25.75
 09:40:05       POC from_above bid  30450.50 |     15     14      1    0      0 |   -2159    394    39    64 |   90.0  -59.5   22.5
 09:40:05       POC from_above bid  30449.50 |      0      0      0    0      0 |   -2143    410    40    60 |   91.0  -58.5   23.5
 09:40:06       POC from_above bid  30450.25 |      0      0      0    0      0 |   -2117    437    55    62 |  90.25 -59.25   22.0
 09:40:06       POC from_above bid  30449.50 |      0      0      0    0      0 |   -2117    437    55    62 |   91.0  -58.5  22.75
 09:40:06       POC from_below ask  30450.00 |     14     14      0    0      0 |   -2130    424    55    68 |   90.5  -59.0  22.25
 09:40:06       POC from_below ask  30449.50 |     14     14      0    0      0 |   -2135    419    55    70 |   91.0  -58.5  22.75
 09:40:50       POC from_below ask  30449.50 |     26     24      2    0      0 |   -2334   -169     2     1 |   91.0  -58.5   34.0
 09:40:50       POC from_above bid  30450.50 |      7      7      0    0      0 |   -2305   -140    26     3 |   90.0  -59.5  31.25
 09:40:51       POC from_below ask  30449.50 |     20     21      0    0      0 |   -2291   -136    47    10 |   91.0  -58.5  32.75
 09:40:51       POC from_above bid  30449.75 |     16     12      4    0      0 |   -2250   -108    66    14 |  90.75 -58.75   32.5
 09:40:51       POC from_above bid  30450.50 |     16     16      0    0      0 |   -2226    -84    68    17 |   90.0  -59.5  31.75
 09:40:51       POC from_above bid  30450.25 |     16     16      0    0      0 |   -2226    -84    68    17 |  90.25 -59.25   32.0
 09:40:51       POC from_above bid  30449.75 |     16     16      0    0      0 |   -2226    -84    68    17 |  90.75 -58.75   32.5
 09:40:51       POC from_above bid  30449.50 |     16     16      0    0      0 |   -2226    -84    68    17 |   91.0  -58.5  32.75
 09:40:51       POC from_above bid  30450.25 |     16     16      0    0      0 |   -2247   -105    68    23 |  90.25 -59.25   32.0
 09:40:51       POC from_above bid  30450.00 |     16     16      0    0      0 |   -2247   -105    68    23 |   90.5  -59.0  32.25
 09:40:53       POC from_above bid  30450.50 |      8      9      0    0      0 |   -2245   -112    68    26 |   90.0  -59.5   28.5
 09:40:54       POC from_above bid  30450.50 |     20     15      5    0      0 |   -2249   -119    68    34 |   90.0  -59.5   32.5
 09:40:56       POC from_below ask  30449.50 |     16     16      0    0      0 |   -2257   -123    79    44 |   91.0  -58.5  32.25
 09:40:57       POC from_above bid  30449.75 |      5      4      1    0      0 |   -2260   -126    84    51 |  90.75 -58.75  32.25
 09:41:04       POC from_above bid  30449.75 |     16     12      4    0      0 |   -2196    -43    98    70 |  90.75 -58.75  34.75
 09:41:04       POC from_above bid  30449.50 |     16     12      4    0      0 |   -2196    -43    98    70 |   91.0  -58.5   35.0
 09:41:04       POC from_above bid  30449.75 |     16     12      4    0      0 |   -2196    -43    98    70 |  90.75 -58.75  34.75
 09:41:04       POC from_above bid  30450.50 |     16     12      4    0      0 |   -2196    -43    98    70 |   90.0  -59.5   34.0
 09:41:04       POC from_above bid  30450.50 |     12     12      0    0      0 |   -2200    -47    98    73 |   90.0  -59.5   34.0
 09:41:05       POC from_above bid  30450.25 |     12     12      0    0      0 |   -2208    -69   103    84 |  90.25 -59.25  36.25
