detected 1719 touch events 09:30-12:00 ET

     time     level       appr def        px |   wall     l3    gap iceN  iceCF |     cvd  cvd60  tBuy tSell |    up+    dn-    net
 11:09:11       IBH from_above bid  30643.50 |     11     10      1    0      0 |   -4121     44     0     5 |  32.25 -62.75 -51.25
 11:09:15       IBH from_below ask  30643.50 |      6      5      1    0      0 |   -4132     46     1     8 |  32.25 -62.75 -58.25
 11:09:17       IBH from_below ask  30642.75 |     12     12      0    0      0 |   -4128     46     5    13 |   33.0  -62.0  -57.0
 11:09:25       IBH from_below ask  30642.75 |     15     15      0    0      0 |   -4143    -37    14    23 |   33.0 -62.75  -58.0
 11:09:50       IBH from_below ask  30642.50 |     14     14      0    0      0 |   -4150    -52     7     5 |  33.25 -75.75 -70.75
 11:10:01       IBH from_below ask  30643.00 |      9      8      1    0      0 |   -4142    -47     6     4 |  32.75 -76.25  -52.5
 11:10:01       IBH from_above bid  30642.75 |      6      6      0    0      0 |   -4143    -48    11    13 |   33.0  -76.0  -53.5
 11:10:33       IBH from_below ask  30642.50 |     17     16      1    0      0 |   -4172     21     3     0 |  33.25 -75.75 -50.25
 11:10:34       IBH from_above bid  30642.50 |      4      4      0    0      0 |   -4159     34    12     2 |  33.25 -75.75  -51.0
 11:10:34       IBH from_below ask  30642.50 |     18     18      0    0      0 |   -4160     34    14     2 |  33.25 -75.75  -51.0
 11:10:41       IBH from_above bid  30643.50 |     15     15      0    0      0 |   -4148     53    21    10 |  32.25 -76.75 -44.25
 11:10:48       IBH from_below ask  30642.75 |     12     12      0    0      0 |   -4156     24    22    11 |   33.0  -76.0 -40.75
 11:10:52       IBH from_below ask  30642.75 |     11     11      0    0      0 |   -4172    -18    23    11 |   33.0  -76.0  -46.5
 11:10:53       IBH from_above bid  30643.50 |     16     14      2    0      0 |   -4171    -17    23    13 |  32.25 -76.75  -46.0
 11:10:57       IBH from_above bid  30643.50 |      8      8      0    0      0 |   -4183    -31    25    20 |  32.25 -76.75  -39.0
 11:14:35       IBH from_above bid  30643.50 |     14     13      1    0      0 |   -4072      9     2    11 |    3.0 -79.75 -51.75
 11:14:35       IBH from_below ask  30643.00 |     12     12      0    0      0 |   -4082      0     4    15 |    3.5 -79.25 -51.25
 11:14:41       IBH from_below ask  30643.00 |      7      7      0    0      0 |   -4110     -2    12    17 |    3.5 -79.25  -49.5
 11:15:05      HVN2 from_above bid  30624.50 |     16      8      8    0      0 |   -4199   -102     0    10 |   22.0 -60.75  -47.0
 11:15:07      HVN2 from_above bid  30624.00 |      9      9      0    0      0 |   -4205    -96     5    26 |   22.5 -60.25  -49.0
 11:15:35      HVN2 from_above bid  30624.25 |      7      7      0    0      0 |   -4123    -53     9    50 |  22.25  -60.5  -56.5
 11:15:44      HVN2 from_below ask  30624.00 |      9      8      1    0      0 |   -4207    -95     8    23 |   22.5 -60.25 -51.75
 11:16:02       IBH from_below ask  30642.50 |      9      7      2    0      0 |   -4127     47     5     0 |    4.0 -78.75 -74.75
 11:16:02       IBH from_below ask  30642.50 |     10     10      0    0      0 |   -4133     41     9     8 |    4.0 -78.75 -74.75
 11:16:11       IBH from_above bid  30643.50 |     18     17      1    0      0 |   -4139     49    14    12 |    1.0 -97.25  -91.5
 11:16:11       IBH from_below ask  30642.50 |     16     16      0    0      0 |   -4143     44    16    20 |    2.0 -96.25  -91.5
 11:16:18       IBH from_below ask  30642.50 |      8      8      0    0      0 |   -4136    -23    24    24 |   1.75 -96.25  -89.5
 11:17:15      HVN2 from_above bid  30624.50 |     15     14      1    0      0 |   -4260   -124     0     3 |  11.75  -83.5  -74.5
 11:17:16      HVN2 from_above bid  30624.00 |      6      6      0    0      0 |   -4253   -118    10    13 |  12.25  -83.0  -75.0
 11:17:18      HVN2 from_below ask  30623.75 |      9      8      1    0      0 |   -4255   -121    21    19 |   12.5 -82.75 -71.75
 11:17:25      HVN2 from_above bid  30624.25 |     12     12      0    0      0 |   -4255    -83    30    40 |   12.0  -87.0  -83.5
 11:17:27      HVN2 from_above bid  30624.50 |     11     11      0    0      0 |   -4254    -85    34    44 |  11.75 -87.25  -84.0
 11:17:35      HVN2 from_below ask  30623.75 |     15     16      0    0      0 |   -4305   -125    40    45 |   12.5 -92.75 -78.75
 11:17:42      HVN2 from_above bid  30623.50 |      0      0      0    0      0 |   -4284   -103    41    49 |  12.75  -92.5  -84.0
 11:17:58   ONH/PMH from_above bid  30613.00 |     45     44      1    0      0 |   -4307    -94     0     3 |  23.25  -82.0 -69.25
 11:18:07      HVN2 from_below ask  30623.50 |      1      1      0    0      0 |   -4297    -38     5     4 |  12.75  -92.5 -73.75
 11:18:10      HVN2 from_above bid  30624.50 |     15     14      1    0      0 |   -4294    -43     7     4 |  11.75  -93.5  -77.0
 11:18:10      HVN2 from_above bid  30624.00 |      8      7      1    0      0 |   -4297    -46     9     7 |  12.25  -93.0  -80.0
 11:18:16      HVN2 from_above bid  30624.50 |     10      8      2    0      0 |   -4313    -58    22    28 |  11.75  -93.5 -83.25
 11:18:20      HVN2 from_below ask  30623.50 |     15     15      0    0      0 |   -4302    -44    40    35 |  12.75  -92.5  -85.0
 11:18:22      HVN2 from_above bid  30623.75 |      8      8      0    0      0 |   -4298    -39    45    39 |   12.5 -92.75 -83.75
 11:18:25      HVN2 from_above bid  30623.75 |      6      6      0    0      0 |   -4286    -31    47    41 |   12.5 -92.75  -80.0
 11:18:29      HVN2 from_below ask  30624.00 |      8      7      1    0      0 |   -4289      9    54    43 |  12.25 -93.25 -93.25
 11:18:50      HVN2 from_above bid  30624.50 |     17     15      2    0      0 |   -4290     10    18    13 |   7.75 -112.25 -108.0
 11:18:54      HVN2 from_below ask  30623.75 |     10     10      0    0      0 |   -4309    -12    16    29 |    8.5 -111.5 -109.0
 11:19:02   ONH/PMH from_above bid  30613.00 |     15     15      0    0      0 |   -4349    -61     0     4 |  19.25 -114.75 -103.75
 11:19:04       MHP from_above bid  30611.50 |     18     17      1    0      0 |   -4367    -72     1    14 |  20.75 -113.25 -102.25
 11:20:08       MHP from_below ask  30611.00 |      3      3      0    0      0 |   -4405     25     6     0 |  21.25 -112.75  -72.0
 11:20:08   ONH/PMH from_below ask  30612.00 |     14     13      1    0      0 |   -4403     27     5     0 |  20.25 -113.75  -73.0
 11:20:12      HVN2 from_below ask  30623.50 |     21     11     10    0      0 |   -4338     85    14     0 |   8.75 -125.25  -80.0
 11:20:12      HVN2 from_below ask  30624.00 |     13     13      0    0      0 |   -4344     83    25    11 |   8.25 -125.75  -83.5
 11:20:14      HVN2 from_below ask  30623.50 |      9      9      0    0      0 |   -4357     76    35    23 |   8.75 -125.25 -82.75
 11:20:15      HVN2 from_below ask  30623.75 |     10     10      0    0      0 |   -4355     96    40    26 |    8.5 -125.5 -84.25
 11:20:20      HVN2 from_above bid  30624.25 |     25     25      0    0      0 |   -4349    167    43    27 |    8.0 -126.0 -95.75
 11:20:21      HVN2 from_below ask  30623.75 |     11     11      0    0      0 |   -4366    149    50    51 |    8.5 -125.5 -90.75
 11:20:25      HVN2 from_above bid  30624.50 |     27     18      9    0      0 |   -4390    117    66    83 |   7.75 -126.25  -97.0
 11:20:26   ONH/PMH from_above bid  30613.00 |     17     17      0    0      0 |   -4453     54    16     8 |  19.25 -114.75  -85.0
 11:20:38      HVN2 from_below ask  30623.75 |      9      9      0    0      0 |   -4394     50    69    92 |    8.5 -125.5 -94.75
 11:20:38      HVN2 from_below ask  30623.75 |      9      7      2    0      0 |   -4406     38    71    93 |    8.5 -125.5 -94.75
 11:20:38      HVN2 from_below ask  30623.50 |     11     11      0    0      0 |   -4402     42    75    93 |   8.75 -125.25  -94.5
 11:20:40      HVN2 from_above bid  30624.50 |     17     17      0    0      0 |   -4343    125    85    96 |   7.75 -126.25  -94.0
 11:20:51      HVN2 from_above bid  30624.50 |     16     15      1    0      0 |   -4335    112    32    55 |   7.75 -126.25 -90.75
 11:20:51      HVN2 from_above bid  30624.50 |     11     11      0    0      0 |   -4337    110    29    55 |   7.75 -126.25  -91.5
 11:20:59      HVN2 from_above bid  30624.50 |     15     15      0    0      0 |   -4345     89    25    20 |   7.75 -126.25  -85.0
 11:21:12      HVN2 from_above bid  30624.50 |     21     21      0    0      0 |   -4322     31     8    24 |   7.75 -126.25  -70.5
 11:21:12      HVN2 from_above bid  30624.50 |     22     22      0    0      0 |   -4299     39    12    26 |   7.75 -126.25  -70.5
 11:21:13      HVN2 from_above bid  30624.50 |     16     16      0    0      0 |   -4309     39    12    38 |   7.75 -126.25 -67.25
 11:21:18      HVN2 from_above bid  30624.50 |     17     17      0    0      0 |   -4288     64    17    47 |   7.75 -126.25 -64.25
 11:21:29      HVN2 from_above bid  30624.50 |     17     17      0    0      0 |   -4220    203    16    45 |    4.5 -126.25  -57.5
 11:21:43      HVN2 from_below ask  30623.75 |      9      8      1    0      0 |   -4261     85    12    24 |   5.25 -125.5 -52.25
 11:21:45      HVN2 from_above bid  30624.50 |     12     12      0    0      0 |   -4247    102    17    15 |    4.5 -126.25 -52.25
 11:21:50      HVN2 from_above bid  30624.25 |     12     12      0    0      0 |   -4243     85    19    12 |   4.75 -126.0  -57.5
 11:21:51      HVN2 from_above bid  30623.50 |      5      5      0    0      0 |   -4242     89    21    15 |    5.5 -125.25 -56.75
 11:22:01   ONH/PMH from_above bid  30612.50 |     11     11      0    0      0 |   -4302     45     1     2 |   16.5 -114.25 -58.75
 11:22:01   ONH/PMH from_above bid  30613.00 |     19     16      3    0      0 |   -4301     46     2     5 |   16.0 -114.75  -59.0
 11:22:03   ONH/PMH from_above bid  30613.00 |     14     13      1    0      0 |   -4305     43     2     7 |   16.0 -114.75 -56.25
 11:22:07       MHP from_above bid  30611.00 |      3      3      0    0      0 |   -4320     19     1     0 |   18.0 -112.75 -53.75
 11:22:07   ONH/PMH from_below ask  30612.25 |     11     10      1    0      0 |   -4322     16    10    29 |  16.75 -114.0  -56.0
 11:22:22       MHP from_below ask  30611.25 |     13     12      1    0      0 |   -4350    -65    24    40 |  17.75 -113.0  -45.0
 11:22:22   ONH/PMH from_below ask  30612.00 |     23     16      7    0      0 |   -4342    -57    21    46 |   17.0 -113.75 -45.75
 11:22:23   ONH/PMH from_below ask  30612.00 |      9      9      0    0      0 |   -4345   -132    22    47 |   17.0 -113.75  -44.0
 11:22:24       MHP from_above bid  30611.50 |     15     14      1    0      0 |   -4341   -127    38    50 |   17.5 -113.25  -43.5
 11:22:32   ONH/PMH from_above bid  30612.25 |      6      6      0    0      0 |   -4331    -81    40    59 |  16.75 -114.0 -43.75
 11:22:32       MHP from_above bid  30611.50 |      7      7      0    0      0 |   -4333    -79    40    54 |   17.5 -113.25 -42.25
 11:23:07  QQQ Open from_above bid  30595.00 |     12     12      0    0      0 |   -4436   -113     0     2 |   34.0 -96.75 -38.25
 11:23:12  QQQ Open from_above bid  30594.75 |     29     24      5    0      0 |   -4534   -179    13    50 |  34.25  -96.5  -48.5
 11:23:12  QQQ Open from_below ask  30595.00 |     19     18      1    0      0 |   -4614   -258    14    50 |   34.0 -96.75 -46.25
 11:23:12  QQQ Open from_below ask  30594.00 |     35     35      0    0      0 |   -4626   -270    16    53 |   35.0 -95.75  -46.0
 11:23:24  QQQ Open from_below ask  30595.00 |      8      7      1    0      0 |   -4674   -333    20    53 |   34.0 -96.75 -52.25
 11:23:26  QQQ Open from_below ask  30594.75 |      4      4      0    0      0 |   -4677   -332    27    54 |  34.25  -96.5 -52.25
 11:23:26  QQQ Open from_above bid  30595.00 |      8      7      1    0      0 |   -4662   -317    28    57 |   34.0 -96.75  -52.5
 11:23:26  QQQ Open from_above bid  30595.00 |     11     11      0    0      0 |   -4666   -321    29    60 |   34.0 -96.75  -52.5
 11:23:29  QQQ Open from_above bid  30595.00 |     27     26      1    0      0 |   -4659   -350    31    61 |   34.0 -96.75 -52.75
 11:23:38  QQQ Open from_below ask  30594.25 |      3      3      0    0      0 |   -4672   -309    24    62 |  34.75  -96.0  -62.0
 11:23:38  QQQ Open from_above bid  30594.75 |     10      9      1    0      0 |   -4674   -315    26    64 |  34.25  -96.5  -61.5
 11:23:47       MHP from_below ask  30610.75 |     13     12      1    0      0 |   -4621   -247     5     0 |  18.25 -112.5  -64.5
 11:23:47   ONH/PMH from_below ask  30612.00 |     13     13      0    0      0 |   -4608   -236     5     0 |   17.0 -113.75  -65.5
 11:23:56       MHP from_below ask  30610.75 |     18     18      0    0      0 |   -4628   -192    44    21 |  18.25 -112.5 -64.75
 11:24:06       MHP from_below ask  30610.75 |     28     23      5    0      0 |   -4639   -226    53    21 |  18.25 -112.5  -69.0
 11:24:06   ONH/PMH from_below ask  30612.00 |     13     13      0    0      0 |   -4640   -210    10     8 |   17.0 -113.75  -69.0
 11:24:10   ONH/PMH from_above bid  30612.50 |     10      8      2    0      0 |   -4622   -169    21    14 |   16.5 -114.25 -79.75
 11:24:10   ONH/PMH from_above bid  30612.50 |      2      3      0    0      0 |   -4618   -166    23    14 |   16.5 -114.25  -81.0
 11:24:11       MHP from_above bid  30611.50 |     21     17      4    0      0 |   -4623   -171    59    32 |   17.5 -113.25  -80.0
 11:24:16   ONH/PMH from_above bid  30612.25 |      8      8      0    0      0 |   -4608     64    29    26 |  16.75 -114.0  -74.5
 11:24:16       MHP from_above bid  30611.25 |     14     13      1    1      0 |   -4612     62    59    35 |  17.75 -113.0  -73.5
          iceberg oid=6878432428141 cumFilled=0 maxDisplayed=2 stillResting=2
 11:24:36  QQQ Open from_above bid  30595.00 |      9      9      0    0      0 |   -4674      3     0     3 |   34.0 -96.75 -52.75
 11:24:37  QQQ Open from_below ask  30594.25 |     10      9      1    0      0 |   -4680     -3     7    18 |  34.75  -96.0  -53.5
 11:24:49  QQQ Open from_above bid  30595.00 |      8      8      0    0      0 |   -4667    -55    12    23 |   34.0 -96.75  -51.0
 11:24:55  QQQ Open from_below ask  30594.00 |     12     11      1    0      0 |   -4674    -43    29    30 |   35.0 -95.75 -57.75
 11:24:55  QQQ Open from_below ask  30595.00 |      3      3      0    0      0 |   -4695    -65    33    42 |   34.0 -96.75 -59.25
 11:24:56  QQQ Open from_below ask  30594.25 |     18     18      0    0      0 |   -4695    -65    35    46 |  34.75  -96.0  -57.5
 11:24:59  QQQ Open from_below ask  30594.75 |     12     11      1    0      0 |   -4706    -51    37    46 |  34.25  -96.5  -57.5
 11:25:03  QQQ Open from_above bid  30594.25 |      9      9      0    0      0 |   -4711    -61    40    53 |  34.75  -96.0 -63.75
 11:25:03  QQQ Open from_below ask  30594.25 |     17     16      1    0      0 |   -4714    -64    41    54 |  34.75  -96.0 -63.75
 11:25:14  QQQ Open from_above bid  30595.00 |      0      0      0    0      0 |   -4716   -106    47    37 |   34.0 -96.75  -76.5
 11:25:14  QQQ Open from_above bid  30594.75 |      0      0      0    0      0 |   -4728   -118    47    49 |  34.25  -96.5 -76.25
 11:25:21  QQQ Open from_below ask  30594.00 |      6      6      0    0      0 |   -4718    -98    44    41 |   35.0 -95.75  -81.0
 11:25:23  QQQ Open from_below ask  30594.25 |     12     12      0    0      0 |   -4715    -73    42    42 |  34.75  -96.0 -81.25
 11:25:27  QQQ Open from_above bid  30595.00 |      9      9      0    0      0 |   -4719    -65    37    30 |   34.0 -96.75  -85.0
 11:25:31  QQQ Open from_below ask  30594.00 |     17     16      1    0      0 |   -4719    -64    35    31 |   35.0 -95.75  -86.0
 11:25:32  QQQ Open from_below ask  30594.25 |     16     15      1    0      0 |   -4727    -70    37    30 |  34.75  -96.0 -78.75
 11:26:05       MHP from_below ask  30611.00 |      9      9      0    0      0 |   -4665     50     4     0 |   18.0 -112.75 -96.25
 11:26:18  QQQ Open from_above bid  30595.00 |     15     14      1    0      0 |   -4733     -7     0     1 |   34.0 -96.75 -79.25
 11:26:55       MHP from_below ask  30610.75 |     22     16      6    0      0 |   -4693    -17     5     0 |  18.25 -112.5 -103.75
 11:26:58       MHP from_below ask  30611.50 |      6      4      2    0      0 |   -4694    -16    21     2 |   17.5 -113.25 -103.25
 11:26:58   ONH/PMH from_below ask  30612.25 |     12     12      0    0      0 |   -4693    -15     6     0 |  16.75 -114.0 -104.0
 11:26:59       MHP from_above bid  30611.50 |     18     17      1    0      0 |   -4694    -17    22     8 |   17.5 -113.25 -103.25
 11:27:00   ONH/PMH from_below ask  30612.00 |     17     17      0    0      0 |   -4695    -13    16     9 |   17.0 -113.75 -101.25
 11:27:03       MHP from_below ask  30611.25 |      9      8      1    0      0 |   -4701    -26    33    16 |  17.75 -113.0 -104.25
 11:27:03   ONH/PMH from_below ask  30612.25 |     12     11      1    0      0 |   -4701    -32    17     9 |  16.75 -114.0 -106.0
 11:27:04   ONH/PMH from_above bid  30613.00 |     15     15      0    0      0 |   -4703    -34    21    17 |   16.0 -114.75 -107.25
 11:27:05   ONH/PMH from_above bid  30612.75 |      4      4      0    0      0 |   -4686    -17    22    18 |  16.25 -114.5 -106.0
 11:27:06   ONH/PMH from_above bid  30612.25 |      7      7      0    0      0 |   -4686     -9    22    19 |  16.75 -114.0 -106.75
 11:27:06       MHP from_above bid  30611.50 |     14     13      1    0      0 |   -4689    -13    35    26 |   17.5 -113.25 -105.0
 11:27:12       MHP from_below ask  30611.25 |      8      7      1    0      0 |   -4701    -13    40    33 |  17.75 -113.0 -109.75
 11:27:12   ONH/PMH from_below ask  30612.00 |     22     21      1    0      0 |   -4699    -10    25    22 |   17.0 -113.75 -110.5
 11:27:18   ONH/PMH from_above bid  30612.25 |      8      8      0    0      0 |   -4684     45    28    23 |  16.75 -116.0 -112.25
 11:27:18   ONH/PMH from_above bid  30612.50 |      8      8      0    0      0 |   -4687     42    28    24 |   16.5 -116.25 -112.5
 11:27:18   ONH/PMH from_above bid  30612.50 |     10      9      1    0      0 |   -4685     47    29    26 |   16.5 -116.25 -112.5
 11:27:20       MHP from_above bid  30611.50 |     15     15      0    0      0 |   -4687     47    44    38 |   17.5 -115.25 -100.75
 11:27:23   ONH/PMH from_above bid  30613.00 |     21     20      1    0      0 |   -4697     44    38    41 |   16.0 -116.75  -96.0
 11:27:30   ONH/PMH from_above bid  30613.00 |     11     11      0    0      0 |   -4697     37    25    40 |   16.0 -116.75  -94.5
 11:27:33      HVN2 from_below ask  30623.50 |     21     20      1    0      0 |   -4658     91     4     0 |    5.5 -127.25 -100.5
 11:27:36      HVN2 from_below ask  30623.75 |     12     12      0    0      0 |   -4647    102    31    14 |   5.25 -127.5  -96.0
 11:27:37      HVN2 from_above bid  30623.75 |     19     19      0    0      0 |   -4658     91    37    24 |   5.25 -127.5 -95.75
 11:27:37      HVN2 from_above bid  30624.50 |     28     20      8    0      0 |   -4674     75    37    35 |    4.5 -128.25  -96.5
 11:27:39      HVN2 from_above bid  30624.00 |      7      6      1    0      0 |   -4679     62    40    42 |    5.0 -127.75 -102.75
 11:27:40      HVN2 from_above bid  30624.25 |      9      9      0    0      0 |   -4679     59    40    45 |   4.75 -128.0 -101.5
 11:27:48      HVN2 from_above bid  30624.50 |      8      8      0    0      0 |   -4678     47    50    57 |    4.5 -128.25  -95.5
 11:27:59      HVN2 from_above bid  30624.00 |      7      7      0    0      0 |   -4689      8    59    66 |    2.0 -127.75  -89.0
 11:28:02      HVN2 from_below ask  30623.50 |     13     13      0    0      0 |   -4683     19    70    71 |   1.75 -127.25  -84.5
 11:28:07      HVN2 from_below ask  30623.75 |     13     12      1    0      0 |   -4676     16    42    51 |    0.0 -127.5 -81.75
 11:28:21   ONH/PMH from_above bid  30612.75 |      7      6      1    0      0 |   -4722    -37     0     4 |   3.75 -116.5  -80.5
 11:28:21       MHP from_above bid  30611.50 |     18     15      3    0      0 |   -4727    -42     0     3 |    5.0 -115.25 -79.25
 11:28:22   ONH/PMH from_above bid  30613.00 |     15     15      0    0      0 |   -4724    -40     3    11 |    3.5 -116.75 -80.75
 11:28:25   ONH/PMH from_above bid  30612.25 |      8      8      0    0      0 |   -4730    -29     3    12 |   4.25 -116.0  -73.5
 11:28:25       MHP from_above bid  30611.50 |     16     16      0    0      0 |   -4731    -30     0     4 |    5.0 -115.25  -72.5
 11:28:27   ONH/PMH from_above bid  30613.00 |     15     15      0    0      0 |   -4730    -41    10    23 |    3.5 -116.75  -76.0
 11:28:28   ONH/PMH from_above bid  30613.00 |     12     12      0    0      0 |   -4730    -41    11    25 |    3.5 -116.75  -76.0
 11:28:29       MHP from_above bid  30611.25 |     15     15      0    0      0 |   -4736    -47     3    10 |   5.25 -115.0 -74.25
 11:28:49  QQQ Open from_above bid  30595.00 |      5      4      1    0      0 |   -4811   -127     0     6 |   21.5 -98.75 -68.25
 11:28:51  QQQ Open from_above bid  30595.00 |      3      2      1    0      0 |   -4795   -102     2     9 |   21.5 -98.75  -68.5
 11:28:55  QQQ Open from_below ask  30594.00 |     15     15      0    0      0 |   -4806   -113     8     9 |   22.5 -97.75 -63.75
 11:28:59  QQQ Open from_above bid  30594.75 |     10     10      0    0      0 |   -4798   -113    13    17 |  21.75  -98.5  -61.5
 11:29:02  QQQ Open from_above bid  30594.25 |     10      9      1    0      0 |   -4791   -113    15    22 |  22.25  -98.0  -52.5
 11:30:03  QQQ Open from_below ask  30594.00 |     17     16      1    0      0 |   -4825    -31     1     0 |   22.5 -97.75 -42.25
 11:30:04  QQQ Open from_below ask  30594.25 |     13     13      0    0      0 |   -4820    -26     7     1 |  22.25  -98.0 -40.75
 11:30:06  QQQ Open from_below ask  30594.25 |      8      7      1    0      0 |   -4801      4    12     1 |  22.25  -98.0 -39.75
 11:30:07  QQQ Open from_below ask  30594.50 |      6      5      1    0      0 |   -4799     12    23     2 |   22.0 -98.25 -39.75
 11:30:37  QQQ Open from_below ask  30594.75 |     15     14      1    0      0 |   -4889    -13    17     9 |  21.75  -98.5  -25.0
 11:30:51  QQQ Open from_above bid  30594.00 |      5      4      1    0      0 |   -4930     -3    14     5 |   22.5 -97.75 -18.25
 11:31:05       MHP from_below ask  30610.75 |     12     12      0    0      0 |   -4907    -94     3     0 |   5.75 -114.5  -33.0
 11:31:05   ONH/PMH from_below ask  30612.00 |      3      3      0    0      0 |   -4902    -98     3     0 |    4.5 -115.75 -35.25
 11:31:08   ONH/PMH from_above bid  30612.00 |      9      8      1    0      0 |   -4897   -100    16     3 |    4.5 -115.75 -35.25
 11:31:08       MHP from_above bid  30610.75 |      3      3      0    0      0 |   -4902   -105    19    15 |   5.75 -114.5  -34.0
 11:31:09   ONH/PMH from_below ask  30612.50 |      2      3      0    0      0 |   -4903   -106    20     8 |    4.0 -116.25 -37.75
 11:31:09   ONH/PMH from_below ask  30612.50 |     29     29      0    0      0 |   -4913   -117    23    10 |    4.0 -116.25 -37.75
 11:31:10   ONH/PMH from_below ask  30612.75 |     12     11      1    0      0 |   -4914   -118    26    11 |   3.75 -116.5  -38.0
 11:31:14   ONH/PMH from_above bid  30613.00 |      8      7      1    0      0 |   -4911    -93    31    19 |    3.5 -116.75 -34.75
 11:31:14       MHP from_above bid  30611.25 |     10      9      1    0      0 |   -4913    -94    33    41 |   5.25 -115.0  -33.0
 11:31:15   ONH/PMH from_below ask  30612.25 |      6      6      0    0      0 |   -4903    -84    33    20 |   4.25 -116.0 -34.25
 11:31:15       MHP from_above bid  30611.50 |     12     11      1    0      0 |   -4901    -82    43    43 |    5.0 -115.25 -34.75
 11:31:18       MHP from_below ask  30611.00 |      4      4      0    0      0 |   -4909    -81    44    50 |    5.5 -114.75 -27.75
 11:31:27       MHP from_below ask  30611.00 |     10     10      0    0      0 |   -4910    -48    45    52 |    5.5 -114.75 -25.75
 11:31:27   ONH/PMH from_above bid  30613.00 |      8      8      0    0      0 |   -4900    -34    45    21 |    3.5 -116.75 -27.75
 11:31:30   ONH/PMH from_above bid  30613.00 |     13     12      1    0      0 |   -4894    -21    50    31 |   0.75 -116.75 -29.25
 11:31:30       MHP from_above bid  30611.25 |     11     11      0    0      0 |   -4894     -9    53    53 |    0.0 -115.0  -29.5
 11:31:56  QQQ Open from_above bid  30594.75 |      1      1      0    0      0 |   -4909     43     0     2 |  12.25  -98.5 -16.25
 11:31:59  QQQ Open from_above bid  30594.50 |     11     11      0    0      0 |   -4918     10     4    16 |   12.5 -98.25  -17.5
 11:32:01  QQQ Open from_below ask  30594.00 |     12     12      0    0      0 |   -4925    -15     5    16 |   13.0 -97.75 -16.75
 11:32:05  QQQ Open from_below ask  30594.00 |     10     10      0    0      0 |   -4923    -10    10    26 |   13.0 -97.75  -14.5
 11:33:10  QQQ Open from_below ask  30594.25 |      9      7      2    0      0 |   -4957      2     2     0 |  15.25  -98.0   14.0
 11:34:11  QQQ Open from_below ask  30594.00 |     10     10      0    0      0 |   -4770    194     4     0 |   31.0 -97.75   15.5
 11:34:12  QQQ Open from_above bid  30595.00 |     14     13      1    0      0 |   -4766    202     8     4 |   30.0 -98.75   12.5
 11:34:33  QQQ Open from_above bid  30595.00 |     12     12      0    0      0 |   -4791    236    13     6 |   30.0 -98.75  12.75
 11:34:42  QQQ Open from_below ask  30594.00 |     14     14      0    0      0 |   -4816    243    23    16 |   31.0 -97.75   12.0
 11:36:29       PDH from_above bid  30545.25 |     14     13      1    1      0 |   -4994   -128     0     2 |   91.0  -49.0  90.25
          iceberg oid=6878428111136 cumFilled=0 maxDisplayed=3 stillResting=3
 11:36:29       PDH from_below ask  30544.50 |      6      6      0    0      0 |   -5017   -162     2    11 |  91.75 -48.25   91.0
 11:36:30       PDH from_above bid  30545.25 |     13     13      0    0      0 |   -5019   -162     7    14 |   92.0  -49.0   92.0
 11:36:37       PDH from_above bid  30544.75 |     16     15      1    0      0 |   -5008   -131     9    16 |   92.5  -48.5   90.0
 11:36:42       PDH from_above bid  30545.25 |     20     19      1    0      0 |   -4997   -138    15    28 |   92.0  -49.0   90.0
 11:36:44       PDH from_below ask  30544.25 |     13     13      0    0      0 |   -4995   -139    22    33 |   93.0  -48.0   88.0
 11:36:48       PDH from_above bid  30545.25 |     13     13      0    0      0 |   -4992   -129    31    40 |   92.0  -49.0  82.25
 11:37:09       PDH from_above bid  30545.00 |     13     13      0    0      0 |   -5007     17    21    24 |  92.25 -48.75  87.25
 11:37:11       PDH from_above bid  30545.00 |     14     13      1    0      0 |   -4995      6    22    30 |  92.25 -48.75  88.25
 11:37:14       PDH from_above bid  30545.00 |     15     15      0    0      0 |   -4994      9    19    28 |  93.25 -48.75  91.75
 11:37:14       PDH from_above bid  30544.25 |      2      2      0    0      0 |   -4995      5    19    30 |   94.0  -48.0   92.5
 11:37:15       PDH from_below ask  30544.75 |     11     11      0    0      0 |   -5000      0    18    32 |   93.5  -48.5   90.5
 11:37:22       PDH from_above bid  30544.50 |      0      0      0    0      0 |   -4999    -11    12    24 |  93.75 -48.25  88.25
 11:37:22       PDH from_below ask  30544.25 |     13     13      0    0      0 |   -4990     -2    18    24 |   94.0  -48.0  88.75
 11:37:35       PDH from_below ask  30544.25 |     27     27      0    0      0 |   -5047    -33    24    34 |   94.0  -48.0  86.25
 11:37:35       PDH from_below ask  30545.00 |      7      6      1    0      0 |   -5050    -36    27    34 |  93.25 -48.75   86.0
 11:37:36       PDH from_above bid  30545.25 |     19     18      1    0      0 |   -4971     32    33    35 |   93.0  -49.0   85.5
 11:37:40       PDH from_above bid  30545.25 |     11     11      0    0      0 |   -4971     18    46    38 |   93.0  -49.0  80.75
 11:37:43       PDH from_below ask  30544.25 |     19     19      0    0      0 |   -4972     25    54    46 |   94.0  -48.0   83.0
 11:37:47       PDH from_below ask  30544.25 |     17     16      1    0      0 |   -4967     24    61    45 |   94.0  -48.0   89.5
 11:37:48       PDH from_above bid  30545.00 |     14     14      0    0      0 |   -4961     32    63    47 |  93.25 -48.75  87.75
 11:37:49       PDH from_above bid  30545.25 |     14     14      0    0      0 |   -4968     19    66    58 |   93.0  -49.0   87.5
